School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
Luther Burbank Middle School Police Academy Magnet,90042,6- 8,C,5-Vacant,6468 N Figueroa St Los Angeles CA 90042,34.119712299999996,-118.1836788,4,12
Gardena Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,647 W Gardena Blvd Gardena CA 90247,33.88255170000001,-118.28655549999999,4,5
John H Liechty Middle School,90017,6- 8,C,2-Monica Garcia,650 S Union Ave Los Angeles CA 90017,34.05457579999999,-118.2693814,27,89
Thomas A Edison Middle School,90001,6- 8,S,7-Dr Richard A Vladovic,6500 Hooper Ave Los Angeles CA 90001,33.9807494,-118.2516457,2,23
Independence Continuation High,91406,9-12,NW,3-Scott M Schmerelson,6501 Balboa Blvd Lake Balboa CA 91406,34.1898531,-118.50223510000001,4,6
Fair Avenue Elementary,91606,K- 5,NE,6-Kelly Gonez,6501 Fair Ave North Hollywood CA 91606,34.189953300000006,-118.37705600000001,15,34
ISANA Palmati Academy,91606,K- 5,XR,6-Kelly Gonez,6501 Laurel Canyon Blvd North Hollywood CA 91606,34.18960510000001,-118.3975768,9,29
Newcastle Elementary School,91335,K- 5,NW,6-Kelly Gonez,6520 Newcastle Ave Reseda CA 91335,34.189534,-118.523881,2,25
Van Nuys Senior High,91411,9-12,NE,6-Kelly Gonez,6535 Cedros Ave Van Nuys CA 91411,34.189234,-118.45516299999998,47,128
Middleton Street Elementary,90255,1- 6,E,5-Vacant,6537 Malabar St Huntington Park CA 90255,33.9797109,-118.2280375,0,1
Westside Innovative School House Community,90045,7- 8,XR,4-Nick Melvoin,6550 W 80th St Los Angeles CA 90045,33.9677904,-118.4038765,0,4
Ararat Charter School,91401,K- 5,XR,6-Kelly Gonez,6555 Sylmar Ave Van Nuys CA 91401,34.189870500000005,-118.4468206,74,123
66th Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,6600 S San Pedro St Los Angeles CA 90003,33.97957299999999,-118.26796499999999,11,73
Manchester Avenue Elementary,90044,1- 6,S,1-Dr George J McKenna III,661 W 87th St Los Angeles CA 90044,33.95921920000001,-118.2861471,27,82
Selma Avenue Elementary,90028,K- 5,W,4-Nick Melvoin,6611 Selma Ave Los Angeles CA 90028,34.1004583,-118.3343797,445,538
Haynes Charter for Enriched Studies,91307,K- 5,NW,3-Scott M Schmerelson,6624 Lockhurst Dr West Hills CA 91307,34.19044470000001,-118.64865230000001,0,8
Daniel Pearl Senior High Journalism & Communications Magnet,91406,9-12,NW,3-Scott M Schmerelson,6649 Balboa Blvd Lake Balboa CA 91406,34.191306,-118.50188159999999,5,6
KIPP Raices Academy,90022,K- 4,XR,2-Monica Garcia,668 S Atlantic Blvd Los Angeles CA 90022,34.02282960000001,-118.15624479999998,0,0
Everest Value School,90005,K- 8,XR,2-Monica Garcia,668 S Catalina Ave Los Angeles CA 90005,34.061068799999994,-118.295258,21,105
Columbus Avenue Elementary,91405,K- 5,NE,6-Kelly Gonez,6700 Columbus Ave Van Nuys CA 91405,34.19298450000001,-118.4635695,20,78
Lake Balboa College Preparatory Magnet K-12,91406,K-12,NW,3-Scott M Schmerelson,6701 Balboa Blvd Lake Balboa CA 91406,34.1921506,-118.50138159999999,5,8
Miles Avenue Elementary Science/Tech/Math Magnet,90255,1- 5,E,5-Vacant,6720 Miles Ave Huntington Park CA 90255,33.978041,-118.216816,0,0
Aspire Titan Academy,90255,K- 5,XR,5-Vacant,6720 S Alameda St Huntington Park CA 90255,33.978062,-118.2343,0,2
Aspire Junior Collegiate Academy,90255,K- 5,XR,5-Vacant,6724 S Alameda St Huntington Park CA 90255,33.9794717,-118.2357419,0,9
Bellingham Elementary,91606,K- 5,NE,6-Kelly Gonez,6728 Bellingham Ave North Hollywood CA 91606,34.1929173,-118.3984259,6,30
Esperanza Elementary,90017,K- 5,C,2-Monica Garcia,680 Little St Los Angeles CA 90017,34.054672499999995,-118.27228190000001,33,100
Charter High School of Arts-Multimedia & Performing,91405,9-12,XR,6-Kelly Gonez,6842 Van Nuys Blvd Van Nuys CA 91405,34.1951615,-118.44756969999999,31,120
Coldwater Canyon Elementary,91605,K- 5,NE,3-Scott M Schmerelson,6850 Coldwater Canyon Ave North Hollywood CA 91605,34.195174,-118.41259699999999,7,27
Canoga Park Senior High,91303,9-12,NW,3-Scott M Schmerelson,6850 Topanga Cyn Blvd Canoga Park CA 91303,34.195205,-118.602999,11,29
Andres & Maria Cardenas Elementary,91405,K- 5,NE,6-Kelly Gonez,6900 Calhoun Ave Van Nuys CA 91405,34.1962104,-118.44186709999998,23,108
Owensmouth Continuation High,91303,9-12,NW,3-Scott M Schmerelson,6921 Jordan Ave Canoga Park CA 91303,34.1963885,-118.60310590000002,12,29
Valley View Elementary,90068,K- 5,W,4-Nick Melvoin,6921 Woodrow Wilson Dr Los Angeles CA 90068,34.125356200000006,-118.34502820000002,0,3
Fullbright Avenue Elementary,91306,K- 5,NW,4-Nick Melvoin,6940 Fullbright Ave Winnetka CA 91306,34.196928299999996,-118.5770542,6,31
Camino Nuevo Charter Academy,90057,K- 8,XR,2-Monica Garcia,697 S Burlington Ave Los Angeles CA 90057,34.0554739,-118.27356090000002,39,95
RFK Comm Schls - UCLA Community School K-12,90005,K-12,C,2-Monica Garcia,700 S Mariposa Ave Los Angeles CA 90005,34.0598735,-118.2983999,23,97
Ednovate-Brio College Prep,90017,9- 9,XR,2-Monica Garcia,700 Wilshire Blvd Ste 400 Los Angeles CA 90017,34.0486245,-118.25745890000002,58,254
Horace Mann UCLA Community School,90047,6-10,W,1-Dr George J McKenna III,7001 S St Andrews Pl Los Angeles CA 90047,33.976186,-118.3115258,10,28
RFK Comm Schls - Ambassador School - Global Leadership,90005,6-12,C,2-Monica Garcia,701 S Catalina St Los Angeles CA 90005,34.0597704,-118.2973355,22,101
Community Preparatory Academy,90047,K- 8,XR,1-Dr George J McKenna III,7019 S Van Ness Ave Los Angeles CA 90047,33.9757049,-118.31802169999999,8,28
Bertrand Avenue Elementary,91335,K- 5,NW,6-Kelly Gonez,7021 Bertrand Ave Reseda CA 91335,34.197698200000005,-118.525232,7,24
Hazeltine Avenue Elementary,91405,K- 5,NE,6-Kelly Gonez,7150 Hazeltine Ave Van Nuys CA 91405,34.20037200000001,-118.43908799999998,16,62
Central Continuation High,90021,9-12,C,2-Monica Garcia,716 E 14th St Los Angeles CA 90021,34.031813299999996,-118.2539364,26,151
Florence Avenue Elementary,90001,K- 6,E,7-Dr Richard A Vladovic,7211 Bell Ave Los Angeles CA 90001,33.973797,-118.238801,0,0
Animo Ellen Ochoa Middle School,90023,6- 8,XR,2-Monica Garcia,725 S Indiana St Los Angeles CA 90023,34.025999600000006,-118.1933102,5,31
Reseda Elementary,91335,K- 5,NW,3-Scott M Schmerelson,7265 Amigo Ave Reseda CA 91335,34.2037251,-118.53903259999998,6,26
Metropolitan Continuation High,90021,9-12,E,2-Monica Garcia,727 S Wilson St Los Angeles CA 90021,34.0336955,-118.2347994,11,166
O'Melveny Elementary,91340,K- 5,NE,6-Kelly Gonez,728 Woodworth St San Fernando CA 91340,34.27494,-118.445655,1,10
KIPP Comienza Community Prep,90255,K- 3,XR,5-Vacant,7300 Roseberry Av Huntington Park CA 90255,33.9737459,-118.2321267,0,0
Melrose Avenue Elementary Math/Science/Technology Magnet,90046,K- 5,W,4-Nick Melvoin,731 N Detroit St Los Angeles CA 90046,34.084255799999994,-118.3454186,12,47
Cabrillo Avenue Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,732 S Cabrillo Ave San Pedro CA 90731,33.7373778,-118.2933667,51,82
ISANA Cardinal Academy,91352,K- 5,XR,6-Kelly Gonez,7330 Bakman Ave Sun Valley CA 91352,34.2038571,-118.3770963,1,26
Ingenium Charter Middle School,91306,6- 7,XR,3-Scott M Schmerelson,7330 Winnetka Ave Winnetka CA 91306,34.202184,-118.56885190000001,8,26
Stanley Mosk Elementary School,91306,K- 5,NW,4-Nick Melvoin,7335 Lubao Ave Winnetka CA 91306,34.203150799999996,-118.5682626,8,27
Ivy Academia,91034,K-12,XR,3-Scott M Schmerelson,7353 Valley Circle Blvd West Hills CA 91034,34.206132399999994,-118.6543926,1,1
Village Charter Academy,91303,K- 5,XR,3-Scott M Schmerelson,7357 Jordan Ave Canoga Park CA 91303,34.204044700000004,-118.60345929999998,8,31
Anatola Avenue Elementary,91406,K- 5,NW,6-Kelly Gonez,7364 Anatola Ave Lake Balboa CA 91406,34.203923100000004,-118.5145211,4,8
Brentwood Elementary Science Magnet,90049,K- 5,W,4-Nick Melvoin,740 Gretna Green Way Los Angeles CA 90049,34.0503367,-118.47418590000002,3,13
Westchester Enriched Sciences Magnets-Envrnmntl Ntrl Sci Eng,90045,9-12,W,4-Nick Melvoin,7400 W Manchester Ave Los Angeles CA 90045,33.9577625,-118.42888789999999,2,5
Canoga Park Elementary,91303,K- 5,NW,3-Scott M Schmerelson,7438 Topanga Canyon Blvd Canoga Park CA 91303,34.2055234,-118.60556129999999,5,27
Wilton Place Elementary,90005,K- 5,W,2-Monica Garcia,745 S Wilton Pl Los Angeles CA 90005,34.0584479,-118.31460430000001,12,49
Gardner Street Elementary,90046,K- 5,W,4-Nick Melvoin,7450 Hawthorn Ave Los Angeles CA 90046,34.0996426,-118.35199320000001,15,225
Camellia Avenue Elementary,91605,K- 5,NE,6-Kelly Gonez,7451 Camellia Ave North Hollywood CA 91605,34.205797100000005,-118.38187250000001,2,26
Robert Fulton College Preparatory School,91405,6-12,NE,6-Kelly Gonez,7477 Kester Ave Van Nuys CA 91405,34.207296299999996,-118.4577885,23,60
49th Street Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,750 E 49th St Los Angeles CA 90011,33.998533,-118.2617872,17,53
Walnut Park Middle School - Social Justice and Srvice Lrning,90255,6- 8,E,5-Vacant,7500 Marbrisa Ave Walnut Park CA 90255,33.971560499999995,-118.23100729999999,0,0
Multicultural Learning Center,91303,K- 8,XR,3-Scott M Schmerelson,7510 De Soto Ave Canoga Park CA 91303,34.20668870000001,-118.5882281,9,30
Raymond Avenue Elementary,90044,K- 5,W,1-Dr George J McKenna III,7511 Raymond Ave Los Angeles CA 90044,33.9716915,-118.29928229999999,7,44
Hope Street Elementary,90255,K- 5,E,5-Vacant,7560 State St Huntington Pk CA 90255,33.9691601,-118.20939469999999,0,0
Cowan Avenue Elementary,90045,K- 5,W,4-Nick Melvoin,7615 Cowan Ave Los Angeles CA 90045,33.97265429999999,-118.4054288,0,2
Pomelo Community Charter School,91304,K- 5,NW,3-Scott M Schmerelson,7633 March Ave West Hills CA 91304,34.208969700000004,-118.64305470000001,1,1
Julie Korenstein Elementary,91605,K- 5,NE,6-Kelly Gonez,7650 Ben Ave North Hollywood CA 91605,34.2097361,-118.39408279999999,8,26
John C Fremont Senior High,90003,9-12,S,7-Dr Richard A Vladovic,7676 S San Pedro St Los Angeles CA 90003,33.969584499999996,-118.266952,14,79
Melvin Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,7700 Melvin Ave Reseda CA 91335,34.209680999999996,-118.55985090000001,2,23
Mount Lukens Continuation High,91042,9-12,NE,6-Kelly Gonez,7705 Summitrose St Tujunga CA 91042,34.259707299999995,-118.3009182,6,10
Paseo del Rey Elementary Natural Science Magnet,90293,K- 5,W,4-Nick Melvoin,7751 Paseo Del Rey Playa Del Rey CA 90293,33.9565362,-118.4337437,2,4
Whitman Continuation High,90036,9-12,W,4-Nick Melvoin,7795 Rosewood Ave Los Angeles CA 90036,34.0803689,-118.3597709,8,25
McKinley Avenue Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,7812 Mc Kinley Ave Los Angeles CA 90001,33.9679734,-118.26038249999999,9,36
Stagg Street Elementary,91406,K- 5,NW,6-Kelly Gonez,7839 Amestoy Ave Lake Balboa CA 91406,34.2129518,-118.50657920000002,1,10
John Hope Continuation High,90003,9-12,S,7-Dr Richard A Vladovic,7840 Towne Ave Los Angeles CA 90003,33.9677886,-118.26686709999998,14,75
Saticoy Elementary,91605,K- 5,NE,6-Kelly Gonez,7850 Ethel Ave North Hollywood CA 91605,34.212868,-118.415578,3,20
CTC - West,90046,12-12,W,4-Nick Melvoin,7850 Melrose Ave Los Angeles CA 90046,34.082198600000005,-118.35979209999998,7,25
Alliance Bloomfield Tech High School,90255,9-12,XR,5-Vacant,7907 Santa Fe Ave Huntington Park CA 90255,33.967152399999996,-118.23061509999998,0,0
James Jordan Middle School,91306,6- 8,XR,3-Scott M Schmerelson,7911 Winnetka Ave Winnetka CA 91306,34.214487299999995,-118.5720986,12,19
Strathern Street Elementary,91605,K- 5,NE,6-Kelly Gonez,7939 St Clair Ave North Hollywood CA 91605,34.214971899999995,-118.401119,7,25
Ranchito Avenue Elementary,91402,K- 5,NE,6-Kelly Gonez,7940 Ranchito Ave Panorama City CA 91402,34.215334399999996,-118.4343055,4,23
Palisades Charter Elementary,90272,K- 5,W,4-Nick Melvoin,800 Via De La Paz Pacific Palisades CA 90272,34.0456282,-118.52713689999999,1,2
Glenwood Elementary,91352,K- 5,NE,6-Kelly Gonez,8001 Ledge Ave Sun Valley CA 91352,34.216264,-118.35876,9,21
135th Street Elementary,90247,K- 5,S,1-Dr George J McKenna III,801 W 135th St Gardena CA 90247,33.9094051,-118.28961559999999,0,8
Panorama Senior High,91402,9-12,NE,6-Kelly Gonez,8015 Van Nuys Bl Panorama City CA 91402,34.2164436,-118.44914479999998,10,37
Park Avenue Elementary,90201,K- 6,E,5-Vacant,8020 Park Ave Cudahy CA 90201,33.960181299999995,-118.17375009999999,0,0
Euclid Avenue Elementary,90023,K- 5,E,2-Monica Garcia,806 Euclid Ave Los Angeles CA 90023,34.030837299999995,-118.2069507,13,50
Coeur D Alene Avenue Elementary,90291,K- 5,W,4-Nick Melvoin,810 Coeur D Alene Ave Venice CA 90291,33.989393,-118.45340630000001,6,62
Animo James B Taylor Charter Middle School,90059,6- 6,XR,7-Dr Richard A Vladovic,810 E 111th Pl Los Angeles CA 90059,33.9349481,-118.26010840000001,16,77
Burton Street Elementary,91402,K- 5,NE,6-Kelly Gonez,8111 Calhoun Ave Panorama City CA 91402,34.2187162,-118.4421899,2,26
Capistrano Avenue Elementary,91304,K- 5,NW,3-Scott M Schmerelson,8118 Capistrano Ave West Hills CA 91304,34.216656,-118.61637900000001,1,13
Grover Cleveland Charter High School,91335,9-12,NW,3-Scott M Schmerelson,8140 Vanalden Ave Reseda CA 91335,34.2177514,-118.547707,5,9
San Pascual Avenue Elementary STEAM Magnet,90042,K- 5,C,5-Vacant,815 San Pascual Ave Los Angeles CA 90042,34.11881339999999,-118.17215049999999,0,3
Michelle Obama Elementary School,91402,K- 5,NE,6-Kelly Gonez,8150 Cedros Ave Panorama City CA 91402,34.2189562,-118.4531438,8,62
52nd Street Elementary,90037,K- 5,W,1-Dr George J McKenna III,816 W 51st St Los Angeles CA 90037,33.9962357,-118.28806270000001,23,77
Animo Venice Charter High School,90291,9-12,XR,4-Nick Melvoin,820 Broadway St Venice CA 90291,33.9970333,-118.46335970000001,24,222
Benjamin Franklin High School,90042,6-12,C,5-Vacant,820 N Avenue 54 Los Angeles CA 90042,34.11570379999999,-118.1988142,9,16
Joaquin Miller Career and Transition Center,91335,12-12,NW,3-Scott M Schmerelson,8218 Vanalden Ave Reseda CA 91335,34.2201521,-118.54851809999998,2,9
32nd Street USC Performing Arts Magnet,90007,K- 5,C,1-Dr George J McKenna III,822 W 32nd St Los Angeles CA 90007,34.0245568,-118.2825494,1,49
Winnetka Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,8240 Winnetka Ave Winnetka CA 91306,34.2193619,-118.570024,7,15
Augustus F Hawkins SH - Critical Design and Gaming School,90044,9-12,W,1-Dr George J McKenna III,825 W 60th St Los Angeles CA 90044,33.9857852,-118.2883825,14,83
Animo Pat Brown,90001,9-12,XR,7-Dr Richard A Vladovic,8255 Beach St Los Angeles CA 90001,33.962983799999996,-118.2426118,0,12
Van Deene Avenue Elementary,90502,K- 6,S,7-Dr Richard A Vladovic,826 W Javelin St Torrance CA 90502,33.8386617,-118.28842809999999,0,4
Gulf Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,828 W L St Wilmington CA 90744,33.785484999999994,-118.272723,11,29
Loren Miller Elementary,90044,K- 6,S,1-Dr George J McKenna III,830 W 77th St Los Angeles CA 90044,33.9696084,-118.28839209999998,20,86
KIPP Philosophers Academy,90001,5- 7,XR,7-Dr Richard A Vladovic,8300 S Central Ave Los Angeles CA 90001,33.9633181,-118.2560429,10,36
William R Anton Elementary,90063,K- 6,E,2-Monica Garcia,831 N Bonnie Beach Pl Los Angeles CA 90063,34.046637200000006,-118.1816567,0,2
Amanecer Primary Center,90023,K- 2,E,2-Monica Garcia,832 S Eastman Ave Los Angeles CA 90023,34.0244468,-118.18586119999999,1,10
Noble Avenue Elementary,91343,K- 5,NE,6-Kelly Gonez,8329 Noble Ave North Hills CA 91343,34.223053,-118.46173999999999,34,73
9th Street Elementary,90021,K- 5,C,2-Monica Garcia,835 Stanford Ave Los Angeles CA 90021,34.035713200000004,-118.2475914,55,260
Sunland Elementary,91040,K- 5,NE,6-Kelly Gonez,8350 Hillrose St Sunland CA 91040,34.262473799999995,-118.31442179999999,5,9
Castelar Street Elementary,90012,K- 5,C,2-Monica Garcia,840 Yale St Los Angeles CA 90012,34.064052000000004,-118.2397486,9,21
Kentwood Elementary,90045,K- 5,W,4-Nick Melvoin,8401 Emerson Ave Los Angeles CA 90045,33.962148,-118.404979,1,5
Graham Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,8407 S Fir Ave Los Angeles CA 90001,33.9615506,-118.2379061,0,10
Independence Elementary,90280,K- 5,E,5-Vacant,8435 Victoria Ave South Gate CA 90280,33.959584,-118.210748,0,0
KIPP Empower Academy,90003,K- 3,XR,1-Dr George J McKenna III,8466 S Figueroa St Los Angeles CA 90003,33.961730100000004,-118.2825122,27,96
KIPP Academy of Opportunity,90003,5- 8,XR,1-Dr George J McKenna III,8500 S Figueroa St Los Angeles CA 90003,33.9612051,-118.28239920000001,27,95
Richard E Byrd Middle School,91352,6- 8,NE,6-Kelly Gonez,8501 Arleta Ave Sun Valley CA 91352,34.2239176,-118.40791829999999,4,17
South Park Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,8510 Towne Ave Los Angeles CA 90003,33.960869,-118.26623400000001,24,87
Wonderland Avenue Elementary,90046,K- 5,W,4-Nick Melvoin,8510 Wonderland Ave Los Angeles CA 90046,34.114044,-118.38002790000002,2,3
Charles Drew Middle School,90001,7- 8,S,7-Dr Richard A Vladovic,8511 Compton Ave Los Angeles CA 90001,33.9614015,-118.24800259999998,2,26
Alliance Piera Barbaglia Shaheen Health,90044,9-12,XR,1-Dr George J McKenna III,8515 Kansas Ave Los Angeles CA 90044,33.9602855,-118.29422350000002,15,48
Limerick Avenue Elementary Dual Language Spanish,91306,K- K,NW,3-Scott M Schmerelson,8530 Limerick Ave Winnetka CA 91306,34.225518,-118.582101,2,14
Washington Primary Center,90044,K- 1,S,1-Dr George J McKenna III,860 W 112th St Los Angeles CA 90044,33.932968100000004,-118.29089450000001,9,34
Panorama City Elementary,91402,K- 5,NW,6-Kelly Gonez,8600 Kester Ave Panorama City CA 91402,34.2272997,-118.456893,26,73
Danny J Bakewell Sr Primary Center,90044,K- K,S,1-Dr George J McKenna III,8621 S Baring Cross St Los Angeles CA 90044,33.9593523,-118.2896924,18,60
San Gabriel Avenue Elementary,90280,K- 5,E,5-Vacant,8628 San Gabriel Ave South Gate CA 90280,33.955902200000004,-118.2016199,0,0
Odyssey Continuation High,90280,9-12,E,5-Vacant,8693 Dearborn Ave South Gate CA 90280,33.9552835,-118.2112231,0,0
Katherine Johnson STEM Academy,90045,6- 8,W,4-Nick Melvoin,8701 Parkhill Dr Los Angeles CA 90045,33.9571099,-118.42803290000002,2,4
La Salle Avenue Elementary,90047,K- 5,W,1-Dr George J McKenna III,8715 La Salle Ave Los Angeles CA 90047,33.958111200000005,-118.3060527,4,16
Mervyn M Dymally Senior High,90003,9-12,S,7-Dr Richard A Vladovic,8800 S San Pedro St Los Angeles CA 90003,33.9577994,-118.26906159999999,16,84
Langdon Avenue Elementary,91343,K- 5,NW,6-Kelly Gonez,8817 Langdon Ave North Hills CA 91343,34.2309505,-118.47019180000001,42,76
Loyola Village Elementary Fine/Performing Arts Magnet,90045,K- 5,W,4-Nick Melvoin,8821 Villanova Ave Los Angeles CA 90045,33.957623,-118.42126699999999,4,4
Rosa Parks Learning Center,91343,K- 5,NW,6-Kelly Gonez,8855 Noble Ave North Hills CA 91343,34.23133869999999,-118.46138159999998,42,77
Dr Owen Lloyd Knox Elementary School,90003,K- 6,S,7-Dr Richard A Vladovic,8919 S Main St Los Angeles CA 90003,33.954806,-118.27421399999999,24,83
Fenton Charter Leadership Academy,91352,K- 5,XR,6-Kelly Gonez,8926 Sunland Blvd Sun Valley CA 91352,34.231257799999995,-118.3661004,8,20
Aspire Firestone Academy,90280,K- 5,XR,5-Vacant,8929 Kauffman Ave South Gate CA 90280,33.951812200000006,-118.1893801,0,0
Harmony Elementary School,90011,K- 5,C,5-Vacant,899 E 42nd Pl Los Angeles CA 90011,34.007096399999995,-118.2605652,12,52
Quincy Jones Elementary,90011,K- 5,C,2-Monica Garcia,900 E 33rd St Los Angeles CA 90011,34.0141071,-118.25986,17,48
Valor Academy Middle School,91343,5- 8,XR,6-Kelly Gonez,9034 Burnet Ave North Hills CA 91343,34.234842,-118.4627182,37,81
Primary Academy for Success School,91402,K- 2,NW,6-Kelly Gonez,9075 Willis Ave Panorama City CA 91402,34.2349969,-118.4555976,12,76
KIPP Ignite Academy,90002,K- 1,XR,7-Dr Richard A Vladovic,9110 S Central Ave Los Angeles CA 90002,33.953556299999995,-118.2561798,12,57
Youth Opportunities Unlimited,90044,9-12,S,1-Dr George J McKenna III,915 W Manchester Ave Los Angeles CA 90044,33.960265,-118.29034640000002,17,61
Sun Valley Senior High,91352,9-12,NE,6-Kelly Gonez,9171 Telfair Ave Sun Valley CA 91352,34.236040100000004,-118.39702690000001,12,25
Cheviot Hills Continuation High,90034,9-12,W,1-Dr George J McKenna III,9200 Cattaraugus Ave Los Angeles CA 90034,34.035047399999996,-118.39206920000001,6,14
92nd Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,9211 Grape St Los Angeles CA 90002,33.9527075,-118.23664620000001,9,37
James Monroe Senior High,91343,9-12,NW,6-Kelly Gonez,9229 Haskell Ave North Hills CA 91343,34.237581,-118.47815530000001,7,53
Canfield Avenue Elementary,90035,K- 5,W,1-Dr George J McKenna III,9233 Airdrome St Los Angeles CA 90035,34.0500516,-118.39047690000001,8,34
Dearborn Elementary Charter Academy,91325,K- 5,NW,3-Scott M Schmerelson,9240 Wish Ave Northridge CA 91325,34.238636299999996,-118.5081515,2,3
Laurel Elementary,90046,K- 8,W,4-Nick Melvoin,925 N Hayworth Ave Los Angeles CA 90046,34.0876581,-118.36290840000001,6,19
Highland Park Continuation High,90042,9-12,C,5-Vacant,928 N Avenue 53 Los Angeles CA 90042,34.1174318,-118.2012892,8,15
Hubert Howe Bancroft Middle School Gifted STEAM Magnet,90038,6- 8,W,4-Nick Melvoin,929 N Las Palmas Ave Los Angeles CA 90038,34.0887898,-118.3374512,20,419
Gerald A Lawson Academy of the Arts Math Science Elementary,90044,K- 6,W,1-Dr George J McKenna III,929 W 69th St Los Angeles CA 90044,33.977528899999996,-118.290264,17,86
Carlos Santana Arts Academy,91343,K- 5,NW,6-Kelly Gonez,9301 Columbus Ave North Hills CA 91343,34.239504100000005,-118.4650979,24,64
Bret Harte Preparatory Middle School,90044,6- 8,W,1-Dr George J McKenna III,9301 S Hoover St Los Angeles CA 90044,33.951468,-118.28809299999999,10,58
KIPP Corazon Preparatory Academy,90280,K- 1,XR,5-Vacant,9325 Long Beach Bl South Gate CA 90280,33.9509315,-118.21812890000001,0,4
Plummer Elementary,91343,K- 6,NW,6-Kelly Gonez,9340 Noble Ave North Hills CA 91343,34.240065,-118.45990400000001,10,67
Oliver Wendell Holmes Middle School,91325,6- 8,NW,3-Scott M Schmerelson,9351 Paso Robles Ave Northridge CA 91325,34.240586,-118.50636599999999,2,2
Valor Academy High School,91343,9- 9,XR,6-Kelly Gonez,9356 Lemona Ave North Hills CA 91343,34.24046920000001,-118.4588154,6,65
Liggett Street Elementary,91402,K- 5,NW,6-Kelly Gonez,9373 Moonbeam Ave Panorama City CA 91402,34.240811799999996,-118.44605109999999,6,14
Vena Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,9377 Vena Ave Arleta CA 91331,34.239830100000006,-118.42073590000001,0,4
Bert Corona Charter School,91331,6- 8,XR,6-Kelly Gonez,9400 Remick Ave Pacoima CA 91331,34.24087069999999,-118.4158815,1,8
Olympic Primary Center,90015,K- K,C,2-Monica Garcia,950 S Albany St Los Angeles CA 90015,34.047984899999996,-118.27061470000001,20,108
Downtown Value School,90015,K- 8,XR,2-Monica Garcia,950 W Washington Blvd Los Angeles CA 90015,34.037303,-118.27943300000001,17,63
Vine Street Elementary,90038,K- 6,W,4-Nick Melvoin,955 N Vine St Los Angeles CA 90038,34.088233200000005,-118.3269719,30,304
Northridge Academy Senior High,91325,9-12,NW,3-Scott M Schmerelson,9601 Zelzah Ave Northridge CA 91325,34.2452244,-118.52443840000001,1,5
West Hollywood Elementary,90069,K- 5,W,4-Nick Melvoin,970 N Hammond St West Hollywood CA 90069,34.0891284,-118.3873362,0,0
Alliance College Ready Middle Academy #4,90003,6- 8,XR,7-Dr Richard A Vladovic,9719 S Main St Los Angeles CA 90003,33.9476371,-118.2743145,22,91
Tweedy Elementary,90280,K- 5,E,5-Vacant,9724 Pinehurst Ave South Gate CA 90280,33.9431147,-118.1824336,0,0
Castle Heights Elementary,90034,K- 5,W,1-Dr George J McKenna III,9755 Cattaraugus Ave Los Angeles CA 90034,34.038346999999995,-118.39824099999998,1,18
Superior Street Elementary,91311,K- 5,NW,3-Scott M Schmerelson,9756 Oso Ave Chatsworth CA 91311,34.247319,-118.57453799999999,1,4
Beachy Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,9757 Beachy Ave Arleta CA 91331,34.247666100000004,-118.4381925,1,13
Hobart Boulevard Elementary,90006,K- 5,C,2-Monica Garcia,980 S Hobart Blvd Los Angeles CA 90006,34.053174,-118.305998,11,104
San Miguel Elementary,90280,K- 5,E,5-Vacant,9801 San Miguel Ave South Gate CA 90280,33.945307899999996,-118.2009645,0,0
Wadsworth Avenue Elementary,90011,K- 5,C,5-Vacant,981 E 41st St Los Angeles CA 90011,34.0095555,-118.2586289,11,52
Topeka Drive Charter for Advanced Studies,91324,K- 5,NW,3-Scott M Schmerelson,9815 Topeka Dr Northridge CA 91324,34.247694,-118.546406,1,6
Madison Elementary,90280,K- 5,E,5-Vacant,9820 Madison Ave South Gate CA 90280,33.945632700000004,-118.2141253,0,2
Stonehurst Avenue Elementary STEAM Magnet,91352,K- 5,NE,6-Kelly Gonez,9851 Stonehurst Ave Sun Valley CA 91352,34.2496658,-118.3698894,0,16
Mariposa-Nabi Primary Center,90006,K- 2,C,2-Monica Garcia,987 S Mariposa Ave Los Angeles CA 90006,34.05309250000001,-118.29920659999999,12,97
99th Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,9900 S Wadsworth Ave Los Angeles CA 90002,33.946302,-118.25828119999998,8,79
Pacoima Middle School,91331,6- 8,NE,6-Kelly Gonez,9919 Laurel Canyon Blvd Pacoima CA 91331,34.2499469,-118.42327579999998,1,16
